ID	time	temp	tipo
929	0.84	31	saindo
940	0.97	26	entrando
942	0.75	24	saindo
943	0.20	22	entrando
945	0.98	25	entrando
946	0.87	27	saindo
948	0.83	28	saindo
963	0.31	28	entrando
965	0.86	30	saindo
977	0.20	15	entrando
978	0.02	14	saindo
982	1.00	21	entrando
983	0.83	25	saindo
994	0.19	17	entrando
995	0.94	18	saindo
996	0.24	18	entrando
997	0.89	19	saindo
1010	0.28	18	entrando
1012	0.24	20	entrando
1013	0.97	18	saindo
1015	0.21	14	entrando
1016	0.91	21	saindo
1028	0.31	19	entrando
1029	0.12	19	saindo
1033	0.33	21	entrando
1034	0.38	22	entrando
1035	0.20	24	saindo
1036	0.19	25	saindo
1045	0.32	23	entrando
1046	0.92	23	saindo
1057	0.65	42	saindo
1059	0.36	28	entrando
1060	0.06	19	saindo
1061	0.19	17	entrando
1064	0.04	23	saindo
1073	0.26	23	entrando
1074	0.92	26	saindo
1076	0.24	22	entrando
1078	0.21	25	entrando
1079	0.02	26	saindo
1082	0.07	27	entrando
1083	0.78	35	saindo
1087	0.12	27	entrando
1088	0.94	26	saindo
1089	0.09	24	saindo
1096	0.18	24	entrando
1097	0.96	28	saindo
1141	0.20	27	entrando
1142	0.78	28	saindo
1145	0.20	22	entrando
1146	0.12	22	saindo
1153	0.19	21	entrando
1154	0.06	24	saindo
1157	0.30	27	entrando
1160	0.00	27	saindo
