ID	periodo	temp	tipo 
439	0.0008	21	inspecionando
440	0.0005	27	inspecionando
441	0.0001	44	inspecionando
444	0.0002	24	inspecionando
446	0.0013	24	inspecionando
450	0.0000	21	inspecionando
451	0.0000	22	inspecionando
454	0.0002	23	inspecionando
455	0.0002	23	inspecionando
459	0.0002	24	inspecionando
460	0.0000	25	inspecionando
464	0.0012	20	inspecionando
465	0.0012	22	inspecionando
468	0.0001	25	inspecionando
471	0.0000	22	inspecionando
472	0.0000	24	inspecionando
473	0.0004	22	inspecionando
474	0.0005	21	inspecionando
475	0.0003	20	inspecionando
476	0.0004	25	inspecionando
477	0.0002	17	inspecionando
481	0.0008	19	inspecionando
482	0.0001	17	inspecionando
484	0.0002	17	inspecionando
485	0.0001	14	inspecionando
497	0.0001	18	inspecionando
499	0.0001	19	inspecionando
501	0.0001	24	inspecionando
509	0.0014	23	inspecionando
517	0.0002	26	inspecionando
518	0.0000	24	inspecionando
519	0.0011	24	inspecionando
520	0.0001	22	inspecionando
523	0.0014	16	inspecionando
525	0.0004	20	inspecionando
527	0.0015	21	inspecionando
540	0.0000	13	inspecionando
541	0.0008	18	inspecionando
542	0.0002	18	inspecionando
545	0.0002	19	inspecionando
547	0.0001	18	inspecionando
551	0.0005	16	inspecionando
555	0.0000	25	inspecionando
558	0.0012	34	inspecionando
559	0.0007	24	inspecionando
562	0.0001	25	inspecionando
564	0.0021	18	inspecionando
565	0.0016	24	inspecionando
566	0.0009	33	inspecionando
568	0.0021	21	inspecionando
572	0.0022	25	inspecionando
573	0.0001	22	inspecionando
575	0.0000	24	inspecionando
576	0.0015	23	inspecionando
578	0.0006	25	inspecionando
582	0.0019	25	inspecionando
587	0.0007	24	inspecionando
588	0.0000	24	inspecionando
590	0.0000	25	inspecionando
591	0.0002	24	inspecionando
599	0.0004	21	inspecionando
600	0.0008	23	inspecionando
601	0.0002	21	inspecionando
602	0.0002	18	inspecionando
603	0.0008	19	inspecionando
604	0.0006	20	inspecionando
605	0.0013	21	inspecionando
611	0.0015	22	inspecionando
612	0.0000	21	inspecionando
615	0.0010	16	inspecionando
616	0.0001	17	inspecionando
618	0.0001	26	inspecionando
629	0.0014	16	inspecionando
630	0.0020	14	inspecionando
633	0.0000	21	inspecionando
634	0.0001	20	inspecionando
637	0.0001	20	inspecionando
639	0.0001	25	inspecionando
646	0.0013	15	inspecionando
648	0.0005	15	inspecionando
